ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10229814,HY417207,09/08/2015 10:00:00 PM,0000X W 79TH ST,0820,THEFT,$500 AND UNDER,CTA BUS STOP,false,false,0623,006,6,44,06,1177483,1852629,2015,02/10/2018 03:50:01 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
10229816,HY417059,09/09/2015 04:30:00 AM,0000X W 79TH ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,false,false,0623,006,6,44,03,1177483,1852629,2015,02/10/2018 03:50:01 PM,41.750940757,-87.625185222,"(41.750940757, -87.625185222)"
10229817,HY414772,09/08/2015 05:30:00 AM,106XX S ST LOUIS AVE,0810,THEFT,OVER $500,STREET,false,false,2211,022,19,74,06,1154898,1833834,2015,02/10/2018 03:50:01 PM,41.699844257,-87.708448215,"(41.699844257, -87.708448215)"
10229819,HY417188,09/09/2015 02:00:00 PM,006XX S WABASH AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,CHA APARTMENT,false,false,0123,001,2,32,26,1176895,1897458,2015,02/10/2018 03:50:01 PM,41.873968788,-87.625987769,"(41.873968788, -87.625987769)"
10229820,HY417247,09/09/2015 02:00:00 PM,006XX N KINGSBURY ST,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,SMALL RETAIL STORE,false,false,1831,018,42,8,10,1172883,1904116,2015,02/10/2018 03:50:01 PM,41.892328543,-87.640520462,"(41.892328543, -87.640520462)"
10229821,HY417176,09/09/2015 06:45:00 PM,0000X W 69TH ST,1661,GAMBLING,GAME/DICE,CTA BUS STOP,true,false,0731,007,6,69,19,1177279,1859276,2015,02/10/2018 03:50:01 PM,41.769185486,-87.625732415,"(41.769185486, -87.625732415)"
10229822,HY417251,09/09/2015 05:45:00 PM,031XX S HALSTED ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,POLICE FACILITY/VEH PARKING LOT,true,false,0913,009,11,60,18,1171479,1884120,2015,02/10/2018 03:50:01 PM,41.837489008,-87.646264459,"(41.837489008, -87.646264459)"
10229823,HY416746,09/08/2015 04:00:00 PM,095XX S EUCLID AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0431,004,7,51,14,1190846,1842141,2015,02/10/2018 03:50:01 PM,41.721848446,-87.576555276,"(41.721848446, -87.576555276)"
10229825,HY417252,09/09/2015 08:06:00 PM,040XX S ARCHER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,false,true,0921,009,12,58,08B,1158592,1877845,2015,02/10/2018 03:50:01 PM,41.820542799,-87.693723997,"(41.820542799, -87.693723997)"
10229828,HY417157,09/09/2015 06:20:00 PM,016XX E 75TH ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,true,false,0411,004,8,43,10,1188361,1855575,2015,02/10/2018 03:50:01 PM,41.758772251,-87.585229528,"(41.758772251, -87.585229528)"
